bathrooms,bedrooms,has_photo,price,square_feet,latitude,longitude,pets_cats,pets_dogs,pets_none,amenities_count,age_in_days,post_hour,post_day_of_week
1.0,1,1,700,250,39.3191,-76.6126,0,0,1,1,4,11,6
1.0,1,1,700,250,39.6041,-104.8594,0,0,1,0,4,11,6
1.0,1,1,700,250,39.6894,-105.1119,0,0,1,0,4,11,6
1.0,1,1,700,250,30.0066,-97.8071,0,0,1,0,4,11,6
1.0,0,1,695,250,42.5286,-92.4509,1,1,0,3,0,11,3
1.0,1,1,695,250,41.7834,-87.8099,0,0,1,0,4,11,6
1.0,1,1,685,250,34.0505,-81.0098,0,0,1,0,0,11,3
1.0,1,1,685,250,33.5178,-112.0848,0,0,1,1,4,11,6
1.0,1,1,675,250,29.7714,-95.4343,0,0,1,0,4,11,6
1.0,1,1,675,250,45.1748,-93.3109,0,0,1,0,19,13,4
1.0,1,1,660,250,33.5178,-112.0848,0,0,1,0,4,11,6
1.0,1,1,650,250,39.3191,-76.6126,0,0,1,1,0,11,3
1.0,1,1,650,250,44.9545,-123.0072,0,0,1,0,0,11,3
1.0,1,1,650,250,29.4832,-82.8641,0,0,1,0,0,11,3
1.0,1,1,650,250,29.4624,-98.5253,0,0,1,0,4,11,6
1.0,1,1,650,250,36.0402,-86.6385,0,0,1,1,4,11,6
1.0,1,1,645,250,33.6285,-78.9873,0,0,1,1,0,11,3
1.0,1,1,645,250,35.2016,-80.8124,0,0,1,1,8,10,2
1.0,1,1,625,250,27.0717,-82.3833,0,0,1,1,0,11,3
1.0,1,1,610,250,33.5178,-112.0848,0,0,1,0,4,11,6
1.0,1,1,600,250,28.473,-82.5474,0,0,1,1,0,11,3
1.0,1,1,600,250,32.2264,-110.9438,0,0,1,1,0,11,3
1.0,1,1,600,250,33.9369,-84.306,0,0,1,1,0,11,3
1.0,1,1,600,250,36.9873,-122.016,0,0,1,0,0,11,3
1.0,1,1,600,250,28.0076,-82.4792,0,0,1,0,4,11,6
1.0,1,1,600,250,47.1165,-88.5631,0,0,1,0,3,12,6
1.0,1,1,600,250,35.823,-78.6438,0,0,1,0,4,11,6
1.0,1,1,595,250,37.6465,-78.2899,0,0,1,0,0,11,3
1.0,1,1,580,250,27.6361,-80.4261,0,0,1,1,0,11,3
1.0,1,1,575,250,39.9849,-75.8127,0,0,1,0,0,11,3
1.0,1,1,575,250,28.681,-81.2808,0,0,1,0,4,11,6
1.0,1,1,550,250,39.2019,-76.951,0,0,1,0,0,11,3
1.0,1,1,550,250,38.7701,-77.2263,0,0,1,1,0,11,3
1.0,1,1,500,250,33.8829,-78.6369,0,0,1,1,0,11,3
1.0,1,1,500,250,29.5056,-94.9889,0,0,1,1,0,11,3
1.0,1,1,500,250,34.8856,-112.4675,0,0,1,0,0,11,3
1.0,1,1,499,250,38.2006,-84.9469,1,1,0,5,0,11,3
1.0,1,1,495,250,33.5178,-112.0848,0,0,1,1,4,11,6
1.0,1,1,200,250,39.3903,-77.1487,0,0,1,0,4,11,6
1.0,0,1,1325,253,47.616,-122.3275,1,1,0,0,0,11,3
1.0,0,1,1400,255,47.7046,-122.1989,1,1,0,0,0,11,3
1.0,0,1,1995,258,37.7599,-122.4379,1,1,0,5,0,11,3
1.0,1,1,710,265,43.0724,-89.4003,1,0,0,2,0,11,3
1.0,1,1,1659,272,38.9118,-77.0132,1,1,0,6,0,11,3
1.0,1,1,1600,272,37.7078,-122.1435,0,0,1,0,0,11,3
1.0,1,1,850,273,39.1471,-86.5136,1,1,0,6,0,11,3
1.0,0,1,1900,275,33.6019,-117.8637,1,0,0,0,4,12,6
1.0,1,1,1505,275,34.0372,-118.2972,0,0,1,0,8,10,2
1.0,1,1,900,275,33.3423,-111.7755,0,0,1,1,4,11,6
1.0,0,1,892,275,41.8625,-87.6825,1,0,0,2,0,11,3
1.0,1,1,705,275,39.1263,-84.5172,0,0,1,0,99,0,2
1.0,1,1,1240,280,38.8077,-76.9886,0,0,1,1,0,11,3
1.0,1,1,870,285,61.1723,-149.8414,1,1,0,0,0,11,3
1.0,0,1,1095,286,41.8625,-87.6825,1,1,0,0,0,11,3
1.0,0,1,1350,288,47.616,-122.3275,1,1,0,0,0,11,3
1.0,1,1,865,288,40.3911,-80.1989,0,0,1,6,99,3,2
1.0,1,1,690,288,28.0076,-82.4792,1,1,0,6,4,11,6
1.0,0,1,1099,290,45.5091,-122.6449,1,1,0,0,0,11,3
1.0,1,1,700,290,44.9855,-93.3023,1,0,0,5,8,10,2
1.0,0,1,850,296,41.6595,-91.535,0,0,1,0,0,11,3
1.0,0,1,2200,300,37.4356,-122.134,1,1,0,0,0,11,3
1.0,1,1,2112,300,41.0591,-74.1452,0,0,1,3,99,4,2
1.0,1,1,1868,300,34.1428,-117.9996,0,0,1,3,99,4,2
1.0,1,1,1575,300,34.0628,-118.2754,1,1,0,5,99,22,1
1.0,1,1,1470,300,39.1627,-76.6354,0,0,1,3,99,2,2
1.0,2,1,1425,300,40.6496,-73.9596,0,0,1,5,0,11,3
1.0,0,1,1195,300,47.616,-122.3275,0,0,1,0,0,11,3
1.0,1,1,995,300,41.9891,-87.6572,1,1,0,0,0,11,3
1.0,0,1,975,300,33.7815,-118.1934,0,0,1,0,99,3,2
1.0,1,1,911,300,41.8625,-87.6825,1,1,0,4,0,11,3
1.0,0,1,900,300,30.3054,-97.7497,1,1,0,0,3,12,6
1.0,1,1,800,300,40.5649,-105.0824,0,0,1,1,0,11,3
1.0,1,1,800,300,33.7416,-84.2614,0,0,1,0,0,11,3
1.0,1,1,795,300,39.736,-104.9819,0,0,1,0,4,11,6
1.0,1,1,795,300,27.3181,-82.4987,1,0,0,1,22,0,2
1.0,1,1,775,300,43.0531,-87.9659,1,1,0,4,4,11,6
1.0,0,1,760,300,41.8625,-87.6825,0,0,1,0,0,11,3
1.0,1,1,750,300,28.23,-82.3055,0,0,1,1,4,11,6
1.0,1,1,725,300,41.6151,-71.1705,0,0,1,0,0,11,3
1.0,1,1,700,300,33.5571,-84.2167,0,0,1,0,0,11,3
1.0,1,1,650,300,39.9974,-82.9829,0,0,1,2,0,11,3
1.0,1,1,595,300,39.0744,-108.5228,1,1,0,0,0,11,3
1.0,1,1,590,300,39.1471,-86.5136,1,0,0,6,0,11,3
1.0,2,1,590,300,39.1471,-86.5136,0,0,1,7,0,11,3
1.0,2,1,585,300,39.1471,-86.5136,0,0,1,7,0,11,3
1.0,2,1,580,300,40.1145,-88.2723,0,0,1,6,0,11,3
1.0,1,1,400,300,35.823,-78.6438,0,0,1,0,12,11,5
1.0,1,1,1195,301,39.5197,-119.8342,1,1,0,6,0,11,3
1.0,1,1,1094,306,39.5197,-119.8342,1,1,0,7,0,11,3
1.0,0,1,725,308,40.4969,-86.9659,0,0,1,4,0,11,3
1.0,0,1,1099,309,45.5091,-122.6449,1,1,0,0,0,11,3
1.0,2,1,1222,310,42.6398,-71.3184,0,0,1,6,0,11,3
1.0,0,1,2195,313,37.7599,-122.4379,1,1,0,2,0,11,3
1.0,1,1,760,313,39.7953,-86.1387,1,1,0,5,4,11,6
1.0,2,1,650,314,41.2321,-111.9813,0,0,1,11,0,11,3
1.0,0,1,2695,315,37.7599,-122.4379,1,1,0,3,0,11,3
1.0,2,1,730,315,61.1723,-149.8414,1,0,0,1,0,11,3
1.0,0,1,659,315,38.0172,-84.4931,1,1,0,0,0,11,3
1.0,1,1,775,317,40.3613,-86.9005,1,1,0,3,0,11,3
1.0,0,1,1350,318,38.9799,-77.0798,0,0,1,0,3,12,6
1.0,1,1,1100,319,41.8625,-87.6825,1,1,0,7,4,11,6
1.0,1,1,965,320,41.8625,-87.6825,1,0,0,4,4,11,6
1.0,0,1,675,320,41.4648,-81.6794,0,0,1,6,4,11,6
1.0,1,1,925,321,39.6894,-105.1119,0,0,1,0,4,11,6
1.0,1,1,845,322,43.0531,-87.9659,1,1,0,0,0,11,3
1.0,2,1,700,324,43.0724,-89.4003,0,0,1,1,0,11,3
1.0,2,1,2700,325,42.328,-71.071,0,0,1,1,99,18,1
1.0,2,1,1995,325,33.8517,-118.3978,1,0,0,0,0,11,3
1.0,1,1,1350,325,47.616,-122.3275,0,1,0,0,0,11,3
1.0,2,1,1349,325,41.8625,-87.6825,1,1,0,0,0,11,3
1.0,2,1,975,325,36.1554,-115.1733,1,1,0,8,0,11,3
1.0,0,1,925,325,41.8625,-87.6825,1,0,0,5,4,11,6
1.0,2,1,899,325,41.8625,-87.6825,1,1,0,1,0,11,3
1.0,2,1,700,325,41.1873,-73.1811,1,1,0,0,16,10,1
1.0,2,1,325,325,41.6675,-83.5837,1,0,0,2,0,11,3
1.0,1,1,915,330,39.6665,-105.0962,1,0,0,1,99,20,1
1.0,0,1,799,330,40.4969,-86.9659,0,0,1,5,0,11,3
1.0,1,1,710,330,39.0744,-94.5521,1,1,0,1,0,11,3
1.0,2,1,2695,332,37.7599,-122.4379,1,1,0,2,4,11,6
1.0,1,1,2295,332,37.7599,-122.4379,1,1,0,2,0,11,3
1.0,2,1,1079,333,39.736,-104.9819,1,0,0,0,0,11,3
1.0,2,1,1386,334,30.3054,-97.7497,0,0,1,0,0,11,3
1.0,1,1,800,335,41.5927,-93.6276,1,1,0,0,0,11,3
1.0,0,1,2195,336,37.7856,-122.4121,1,1,0,3,0,11,3
1.0,2,1,1100,336,43.0834,-87.8861,1,0,0,0,0,11,3
1.0,1,1,1099,336,28.0076,-82.4792,1,1,0,2,0,11,3
1.0,0,1,625,336,32.2264,-110.9438,0,0,1,6,0,11,3
1.0,2,1,809,337,30.3054,-97.7497,0,0,1,0,0,11,3
1.0,0,1,2295,338,37.7599,-122.4379,1,1,0,1,0,11,3
1.0,2,1,1160,338,29.6533,-82.3656,1,1,0,12,0,11,3
1.0,2,1,998,338,44.9605,-89.6304,0,0,1,3,0,11,3
1.0,2,1,990,338,45.5091,-122.6449,1,1,0,5,4,11,6
1.0,1,1,785,340,43.0724,-89.4003,0,0,1,2,4,11,6
1.0,2,1,720,340,40.4969,-86.9659,0,0,1,5,0,11,3
1.0,0,1,1240,341,33.3898,-111.9272,1,1,0,11,0,11,3
1.0,0,1,2395,342,37.7599,-122.4379,0,0,1,1,0,11,3
1.0,2,1,480,342,40.3613,-86.9005,1,1,0,5,0,11,3
1.0,0,1,800,344,35.0462,-85.2352,1,1,0,9,0,11,3
1.0,1,1,1655,346,47.616,-122.3275,1,1,0,2,0,11,3
1.0,1,1,899,346,44.9855,-93.3023,1,0,0,5,4,11,6
1.0,1,1,600,347,38.6274,-90.304,1,1,0,0,0,11,3
1.0,2,1,699,348,39.0744,-94.5521,1,1,0,3,4,11,6
1.0,0,1,2195,350,37.7599,-122.4379,0,0,1,1,0,11,3
1.0,2,1,1670,350,42.2711,-83.745,0,0,1,3,0,11,3
1.0,1,1,1650,350,37.3108,-121.8645,0,0,1,1,0,11,3
1.0,2,1,1550,350,38.9118,-77.0132,1,1,0,1,0,11,3
1.0,0,1,1400,350,34.0372,-118.2972,1,1,0,0,0,11,3
1.0,0,1,1299,350,45.5091,-122.6449,1,1,0,0,0,11,3
1.0,0,1,1299,350,47.616,-122.3275,1,1,0,0,0,11,3
1.0,2,1,1200,350,42.7742,-71.0937,1,0,0,12,0,11,3
1.0,1,1,1145,350,40.0054,-75.1415,1,1,0,0,0,11,3
1.0,1,1,1000,350,43.0724,-89.4003,1,0,0,6,19,13,4
1.0,0,1,940,350,41.8625,-87.6825,0,0,1,0,0,11,3
1.0,2,1,895,350,40.1119,-82.9128,1,1,0,8,0,11,3
1.0,0,1,875,350,30.3054,-97.7497,1,1,0,0,3,12,6
1.0,1,1,800,350,41.8625,-87.6825,0,0,1,1,0,11,3
1.0,0,1,710,350,47.6794,-117.4018,1,1,0,0,0,11,3
1.0,0,1,699,350,39.597,-78.8345,1,1,0,2,7,9,3
1.0,2,1,695,350,61.1723,-149.8414,1,1,0,1,0,11,3
1.0,0,1,592,350,32.2264,-110.9438,1,1,0,2,0,11,3
1.0,1,1,1225,351,45.5091,-122.6449,1,1,0,8,4,11,6
1.0,2,1,1246,352,30.3054,-97.7497,0,0,1,0,0,11,3
1.0,0,1,1225,352,34.0786,-118.2615,1,1,0,2,99,19,1
1.0,1,1,675,354,38.9163,-94.3719,1,1,0,6,4,11,6
1.0,0,1,1400,355,34.0372,-118.2972,1,1,0,0,0,11,3
1.0,1,1,585,355,40.1171,-88.1889,0,0,1,4,0,11,3
1.0,2,1,1125,357,41.8625,-87.6825,1,1,0,3,8,10,2
1.0,2,1,614,357,41.4729,-81.7374,0,0,1,3,99,19,1
1.0,2,1,1225,360,40.7647,-74.2119,1,1,0,0,12,11,5
1.0,2,1,875,360,44.9545,-123.0072,1,1,0,0,0,11,3
1.0,2,1,850,360,30.3054,-97.7497,0,0,1,0,0,11,3
1.0,1,1,670,360,43.0724,-89.4003,0,0,1,1,0,11,3
1.0,1,1,639,360,40.1145,-88.2723,0,0,1,3,0,11,3
1.0,1,1,495,360,36.116,-95.9281,1,1,0,2,0,11,3
1.0,2,1,1750,362,38.9118,-77.0132,1,1,0,8,0,11,3
1.0,1,1,1050,362,41.8625,-87.6825,1,1,0,0,0,11,3
1.0,0,1,950,362,30.3054,-97.7497,0,0,1,0,0,11,3
1.0,2,1,1200,367,45.5091,-122.6449,0,0,1,0,3,12,6
1.0,1,1,985,367,41.8625,-87.6825,1,1,0,1,0,11,3
1.0,2,1,965,368,41.3708,-72.9259,1,0,0,0,0,11,3
1.0,1,1,530,368,43.2932,-86.2829,1,0,0,3,0,11,3
1.0,2,1,1530,369,47.616,-122.3275,1,1,0,0,0,11,3
1.0,1,1,1000,369,33.7815,-118.1934,0,0,1,2,99,3,2
1.0,1,1,720,369,39.064,-94.5819,1,1,0,3,4,11,6
1.0,0,1,1225,370,40.4841,-74.4526,0,0,1,0,0,11,3
1.0,1,1,1025,370,45.5091,-122.6449,1,0,0,0,0,11,3
1.0,1,1,765,370,29.4,-95.2394,1,1,0,5,4,11,6
1.0,1,1,1975,375,34.0231,-118.4811,1,1,0,4,0,11,3
1.0,1,1,1525,375,32.7876,-117.1265,0,0,1,0,0,11,3
1.0,1,1,1175,375,45.5091,-122.6449,0,0,1,8,4,11,6
1.0,2,1,940,375,30.3054,-97.7497,0,0,1,3,0,11,3
1.0,1,1,850,375,40.4969,-86.9659,0,0,1,5,0,11,3
1.0,1,1,829,375,33.5178,-112.0848,1,1,0,0,0,11,3
1.0,0,1,799,375,40.4969,-86.9659,0,0,1,5,0,11,3
1.0,2,1,773,375,44.9855,-93.3023,1,0,0,4,16,11,1
1.0,1,1,386,375,42.8224,-89.0658,1,1,0,3,0,11,3
1.0,2,1,1400,377,25.7603,-80.3005,1,1,0,7,0,11,3
1.0,1,1,3095,378,37.7599,-122.4379,1,0,0,4,4,11,6
1.0,2,1,1275,378,45.5091,-122.6449,1,1,0,6,4,11,6
1.0,0,1,929,378,30.3054,-97.7497,0,0,1,0,0,11,3
1.0,2,1,1591,379,33.8666,-118.0485,1,1,0,9,99,2,2
1.0,1,1,2895,380,37.7599,-122.4379,1,1,0,2,0,11,3
1.0,0,1,2695,380,37.7599,-122.4379,1,1,0,3,4,11,6
1.0,0,1,1400,380,32.7876,-117.1265,0,0,1,0,0,11,3
1.0,2,1,955,380,61.1723,-149.8414,1,0,0,0,0,11,3
1.0,1,1,540,380,32.2264,-110.9438,1,1,0,8,0,11,3
1.0,2,1,2895,381,37.7599,-122.4379,1,1,0,2,0,11,3
1.0,2,1,2874,382,37.7599,-122.4379,0,0,1,5,0,11,3
1.0,2,1,635,382,35.9695,-83.981,1,1,0,7,0,11,3
1.0,1,1,902,384,41.8625,-87.6825,1,1,0,1,0,11,3
1.0,0,1,2395,385,37.7599,-122.4379,1,1,0,1,0,11,3
1.0,1,1,1250,385,45.5091,-122.6449,1,1,0,0,0,11,3
1.0,1,1,540,385,39.1471,-86.5136,0,0,1,7,0,11,3
1.0,1,1,350,385,37.2935,-87.127,0,0,1,3,14,21,2
1.0,2,1,1262,386,45.5091,-122.6449,1,1,0,9,4,11,6
1.0,0,1,1115,389,45.5091,-122.6449,1,1,0,6,0,11,3
1.0,2,1,2095,390,41.824,-71.4315,1,1,0,11,0,11,3
1.0,1,1,1800,390,38.9118,-77.0132,1,1,0,11,0,11,3
1.0,2,1,879,390,28.5163,-81.3644,1,1,0,8,0,11,3
1.0,1,1,699,390,40.4969,-86.9659,0,0,1,4,0,11,3
1.0,1,1,640,390,40.1171,-88.1889,0,0,1,1,0,11,3
1.0,1,1,999,391,30.3054,-97.7497,0,0,1,5,0,11,3
1.0,1,1,959,391,30.3054,-97.7497,0,0,1,2,0,11,3
1.0,0,1,1654,393,38.9118,-77.0132,0,0,1,0,0,11,3
1.0,2,1,995,393,29.5122,-98.5226,1,1,0,7,0,11,3
1.0,0,1,919,394,30.3054,-97.7497,0,0,1,0,0,11,3
1.0,0,1,1350,395,34.0372,-118.2972,1,1,0,0,0,11,3
1.0,1,1,1045,395,41.8625,-87.6825,1,1,0,0,8,10,2
1.0,2,1,976,395,30.3054,-97.7497,0,0,1,3,0,11,3
1.0,2,1,762,395,48.7871,-122.4437,0,0,1,7,0,11,3
1.0,1,1,1050,396,30.3054,-97.7497,0,0,1,0,0,11,3
1.0,1,1,1225,397,45.5091,-122.6449,0,0,1,8,4,11,6
1.0,2,1,2495,398,37.7599,-122.4379,1,1,0,2,0,11,3
1.0,1,1,1173,398,41.8625,-87.6825,1,1,0,3,0,11,3
1.0,2,1,1005,398,30.3054,-97.7497,0,0,1,2,0,11,3
1.0,2,1,1000,398,30.3054,-97.7497,1,1,0,0,3,12,6
1.0,2,1,875,398,30.3054,-97.7497,0,0,1,0,0,11,3
1.0,2,1,3000,400,26.0512,-80.147,0,0,1,1,4,11,6
1.0,0,1,2450,400,34.0231,-118.4811,0,0,1,2,0,11,3
1.0,1,1,2050,400,33.8323,-117.9079,0,0,1,1,4,11,6
1.0,0,1,1659,400,38.9118,-77.0132,1,1,0,8,0,11,3
1.0,1,1,1625,400,47.3002,-122.2168,0,0,1,0,0,11,3
1.0,0,1,1599,400,40.6997,-73.8103,0,0,1,2,8,10,2
1.0,1,1,1500,400,33.1463,-117.1694,0,0,1,1,4,11,6
